pais,anio,size_emp,size_label,pct,flag
CZ,2025,GE250,Grandes (>=250),54.1,
DE,2025,GE250,Grandes (>=250),56.99,
DK,2025,GE250,Grandes (>=250),74.52,
EE,2025,GE250,Grandes (>=250),52.9,
EL,2025,GE250,Grandes (>=250),37.58,
ES,2025,GE250,Grandes (>=250),57.46,
EU27_2020,2025,GE250,Grandes (>=250),55.03,
FI,2025,GE250,Grandes (>=250),79.4,
FR,2025,GE250,Grandes (>=250),58.01,
HR,2025,GE250,Grandes (>=250),39.57,
HU,2025,GE250,Grandes (>=250),39.99,
IE,2025,GE250,Grandes (>=250),57.27,
IT,2025,GE250,Grandes (>=250),53.09,
LT,2025,GE250,Grandes (>=250),51.75,
LU,2025,GE250,Grandes (>=250),57.97,
LV,2025,GE250,Grandes (>=250),47.09,
MT,2025,GE250,Grandes (>=250),51.75,
NL,2025,GE250,Grandes (>=250),67.64,
PL,2025,GE250,Grandes (>=250),45.81,
PT,2025,GE250,Grandes (>=250),49.15,
RO,2025,GE250,Grandes (>=250),20.75,
SE,2025,GE250,Grandes (>=250),71.87,
SI,2025,GE250,Grandes (>=250),71.74,
SK,2025,GE250,Grandes (>=250),43.74,
